PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40725130,Modeling Virus-Associated Central Nervous System Disease in Non-Human Primates.,2025,Krystal J Vail; Brittany N Macha; Linh Hellmers; Tracy Fischer,"Division of Comparative Pathology, Tulane National Primate Research Center, Covington, LA 70433, USA.; Division of Comparative Pathology, Tulane National Primate Research Center, Covington, LA 70433, USA.; Division of Comparative Pathology, Tulane National Primate Research Center, Covington, LA 70433, USA.; Division of Comparative Pathology, Tulane National Primate Research Center, Covington, LA 70433, USA.",
40724994,Functional Autoantibodies Targeting G-Protein-Coupled Receptors and Their Clinical Phenotype in Patients with Long-COVID.,2025,Marianna Lucio; Gerd Wallukat,"Research Unit Analytical BioGeoChemistry, Helmholtz Zentrum München-German Research Center for Environmental Health, 85764 Neuherberg, Germany.; Berlin Cures GmbH, 13125 Berlin, Germany.",
40724930,In Silico Analysis of Post-COVID-19 Condition (PCC) Associated SNP rs9367106 Predicts the Molecular Basis of Abnormalities in the Lungs and Brain Functions.,2025,Amit K Maiti,"Department of Genetics, Mydnavar, 28475 Greenfield Rd, Southfield, MI 48076, USA.",
40724731,Enhancing Competencies and Professional Upskilling of Mobile Healthcare Unit Personnel at the Hellenic National Public Health Organization.,2025,Maria Stamou; Sofia Boultadaki; Elias Liantis; Anargiros Mariolis; Andreas M Matthaiou; Constantinos Mihas; Efstathios A Skliros; Georgios Dellis; Christos Hadjichristodoulou,"Hellenic National Public Health Organization, 11527 Athens, Greece.; Hellenic National Public Health Organization, 11527 Athens, Greece.; Hellenic National Public Health Organization, 11527 Athens, Greece.; Department of Primary Care, Health Center of Areopolis, 23062 Areopolis, Greece.; 5th Department of Respiratory Medicine, Sotiria Thoracic Diseases General Hospital of Athens, 11527 Athens, Greece.; General Hospital-Health Centre of Kymi, 34003 Kymi, Greece.; Nemea Health Center, 20100 Corinthia, Greece.; Hellenic National Public Health Organization, 11527 Athens, Greece.; Hellenic National Public Health Organization, 11527 Athens, Greece.",
40724713,Exploring the Association Between Digital Health Literacy and Burnout and Depression Among TV Journalists During the COVID-19 Pandemic in Serbia.,2025,Ivana Bozovic; Ivana Stasevic-Karlicic,"Serbian Broadcasting Corporation, Takovska 10, 11000 Belgrade, Serbia.; Clinic for Mental Disorders ""Dr. Laza Lazarević"", Visegradska 26, 11000 Belgrade, Serbia.",
40724632,Impact of the COVID-19 Pandemic on Functionality and Fall Risk in Institutionalized Geriatric Patients: A Longitudinal Observational Study.,2025,Elena Martinez Mendoza,"Private Practice at dePie Clínicas Podológicas, 46021 Valencia, PC, Spain.",
40724489,Fifteen Years of Emergency Visits for Whiplash Injuries: Impact of COVID-19 and Campaign to Reduce Minor Injury Admission.,2025,Micah Nicholls,"Össur ehf, 110 Reykjavík, Iceland.",
40724141,Examining the Impact of the COVID-19 Pandemic on Suicide-Attempt Survivors.,2025,Jessica Stohlmann-Rainey; Dese'Rae Stage,"Solutions by Jess, 3505 N Elizabeth St., Denver, CO 80205, USA.; Live Through This Productions, LLC, 2310 Mercer St., Philadelphia, PA 19125, USA.",
40724134,"COVID-19 and the Syndemic of Intimate Partner Violence, Mental Health, Substance Use, and HIV Care Engagement Among Black Sexual Minority Men Living with HIV in the US South.",2025,Daniel E Siconolfi,"RAND Corporation, Santa Monica, CA 90401, USA.",
40724121,Unveiling the Impact: A Scoping Review of the COVID-19 Pandemic's Effects on Racialized Populations in Canada.,2025,Navindra Persaud,"Department of Family and Community Medicine, St. Michael's Hospital, Toronto, ON M5B 1W8, Canada.",
40724048,Changes in Coping Strategies of Parents and Girls with Central Precocious Puberty Before and After the COVID-19 Lockdown: Data from Four Italian Pediatric Endocrinology Centers.,2025,Beatrice Righi; Chiara Sartori,"Unit of Paediatrics, AUSL-IRCCS di Reggio Emilia, 42122 Reggio Emilia, Italy.; Unit of Paediatrics, AUSL-IRCCS di Reggio Emilia, 42122 Reggio Emilia, Italy.",
40724003,Distribution and Determinants of Antibiotic Self-Medication: A Cross-Sectional Study in Chinese Residents.,2025,Mengyun Sui,"Division of Chronic Non-Communicable Diseases and Injury Prevention, Shanghai Municipal Center for Disease Control and Prevention, Shanghai 201106, China.",
40723979,"Antibiotic Prescription in Dentistry: Trends, Patient Demographics, and Drug Preferences in Germany.",2025,Claudia Ringel; Karel Kostev,"Real World Solutions, IQVIA, 04229 Leipzig, Germany.; Epidemiology, IQVIA, 60549 Frankfurt, Germany.",
40723962,Invisible Engines of Resistance: How Global Inequities Drive Antimicrobial Failure.,2025,Arnold Cua,"MultiCare Health System Inc., MultiCare Infectious Disease Specialists, Auburn, WA 98001, USA.",
40723876,Defibrotide for Protecting Against and Managing Endothelial Injury in Hematologic Malignancies and COVID-19.,2025,Jean Marie Connors; Massimo Iacobelli; Maribel Díaz-Ricart,"Division of Hematology, Brigham and Women's Hospital, Boston, MA 02115, USA.; Techitra S.r.l., 20123 Milan, Italy.; Hematopathology, Pathology Department, CDB, Hospital Clinic, IDIBAPS, 08036 Barcelona, Spain.",
40723815,Significant Reduction of Chenodeoxycholic Acid and Glycochenodeoxycholic Acid in the Elderly with Severe COVID-19.,2025,Wen Xu; Bo Tu; Xue Li; Lei Huang; Xin Yuan; Shengdong Luo; Juanjuan Zhou; Xinxin Yang; Junlian Yang; Weiwei Chen; Fu-Sheng Wang,"Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.; Senior Department of Infectious Diseases, The Fifth Medical Center of Chinese PLA General Hospital, National Clinical Research Center for Infectious Diseases, Beijing 100073, China.",
40723800,Immune Signatures in Post-Acute Sequelae of COVID-19 (PASC) and Myalgia/Chronic Fatigue Syndrome (ME/CFS): Insights from the Fecal Microbiome and Serum Cytokine Profiles.,2025,Martin Tobi; Noreen F Rossi; Yosef Tobi; Mariana Angoa-Perez,"R&D Department, John D. Dingell VAMC, 4646 John R Street, Detroit, MI 48201, USA.; R&D Department, John D. Dingell VAMC, 4646 John R Street, Detroit, MI 48201, USA.; R&D Department, John D. Dingell VAMC, 4646 John R Street, Detroit, MI 48201, USA.; R&D Department, John D. Dingell VAMC, 4646 John R Street, Detroit, MI 48201, USA.",
40723723,Revisiting Public Trust and Media Influence During COVID-19 Post-Vaccination Era-Waning of Anxiety and Depression Levels Among Skilled Workers and Students in Serbia.,2025,Jelena Petkovic; Snezana Svetozarevic,"General Hospital ""Stefan Visoki"", 11420 Smederevska Palanka, Serbia.; National Centre for Corporate Education, 11000 Belgrade, Serbia.",
40723646,Effects of Parent-Adolescent Relationship Quality on Youth Symptoms Amidst COVID-19.,2025,Valerie V Salcido; Paula Sanchez-Hernandez,"Department of Psychology, UNC Greensboro, Greensboro, NC 27402, USA.; Department of Psychology, UNC Greensboro, Greensboro, NC 27402, USA.",
40723190,Colorectal Cancer Risk Following Herpes Zoster Reactivation in COVID-19 Survivors: Global Multicenter Study Using TriNetX.,2025,Tzung-Ju Lu; Joshua Wang; Kuo-Wang Tsai; I-Hung Chen; Kuo-Cheng Lu,"Division of Colon and Rectal Surgery, Department of Surgery, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.; Department of Research, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.; Department of Research, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.; Department of Internal Medicine, Tri-Service General Hospital, National Defense Medical Center, Taipei City 11490, Taiwan.; Division of Nephrology, Department of Medicine, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.",
40723102,Molecular and Neurobiological Imbalance from the Use of Technological Devices During Early Child Development Stages.,2025,Iside Castagnola,"Co.Re.Com, Regional Committee for Communications, 00193 Rome, Italy.",
40722860,Correction: Nocini et al. Improving Nasal Protection for Preventing SARS-CoV-2 Infection. ,2025,Brandon Michael Henry; Camilla Mattiuzzi,"Division of Nephrology and Hypertension, Cincinnati Children's Hospital Medical Center, 3333 Burnet Ave, Cincinnati, OH 45229, USA.; Service of Clinical Governance, Provincial Agency for Social and Sanitary Services (APSS), Via Alcide Degasperi 79, 38123 Trento, Italy.",
40722799,Neuropilin-1: A Conserved Entry Receptor for SARS-CoV-2 and a Potential Therapeutic Target.,2025,Fengyang Huang; Enrique Hong,"Laboratorio de Investigación en Obesidad y Asma, Hospital Infantil de México ""Federico Gómez"", Ciudad de Mexico 06720, Mexico.; Departamento de Farmacobiología, Centro de Investigación y de Estudios Avanzados, Ciudad de Mexico 14330, Mexico.",
40722700,"Herpes Zoster Reactivation Following COVID-19 and the Risk of Renal, Infectious, and Autoimmune Complications: A Global Propensity-Matched Cohort Study.",2025,Joshua Wang; Kuo-Cheng Lu,"Department of Research, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.; Division of Nephrology, Department of Medicine, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei City 23142, Taiwan.",
40722640,The Clinical Impact of the Omicron Variant on Octogenarian Hospitalized COVID-19 Patients: The Results from CoviCamp Cohort.,2025,Salvatore Martini; Giovanni Di Caprio; Fabio Giuliano Numis; Vincenzo Sangiovanni; Vincenzo Esposito; Rossella Pacilio; Giosuele Calabria; Raffaella Pisapia; Canio Carriero; Alfonso Masullo; Elio Manzillo; Grazia Russo; Roberto Parrella; Sebastiano Leone; Michele Gambardella; Antonio Ponticiello,"Infectious Disease Unit, A.O.U. Luigi Vanvitelli, 80138 Naples, Italy.; Infectious Disease Unit, A.O.S Anna e S Sebastiano Caserta, 81100 Caserta, Italy.; Emergency Unit, P.O. Santa Maria delle Grazie, 80078 Pozzuoli, Italy.; Third Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Colli, 80131 Naples, Italy.; Infectious Diseases Unit and Gender Medicine, P.O. Cotugno, AORN dei Colli, 80131 Naples, Italy.; Hepatic Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Colli, 80131 Naples, Italy.; IX Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Coli, 80131 Naples, Italy.; First Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Coli, 80131 Naples, Italy.; Infectious Disease Unit, P.O. Rummo, A.O. San Pio, 82100 Benevento, Italy.; Infectious Disease Unit, A.O. San Giovanni di Dio e Ruggi D'Aragona Salerno, 84131 Salerno, Italy.; VIII Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Coli, 80131 Naples, Italy.; Infectious Disease Unit, Ospedale Maria S.S. Addolorata di Eboli, A.S.L. Salerno, 84131 Salerno, Italy.; Respiratory Infectious Disease Unit, P.O. Cotugno, A.O.R.N. dei Colli, 80131 Naples, Italy.; Infectious Disease Unit, A.O. Avellino, 83100 Avellino, Italy.; Infectious Disease Unit, P.O. S. Luca, Vallo della Lucania, A.S.L. Salerno, 84131 Salerno, Italy.; Pneumology Unit, A.O.R.N. Caserta, 81100 Caserta, Italy.",
40722211,Silica Hazards in Engineered Stone Countertop Production: Worker Experiences and Challenges in Los Angeles.,2025,Kristin J Cummings,"Occupational Health Branch, California Department of Public Health, Richmond, California, USA.",
40722204,Exploring the psychological impact on children and adolescents during the initial period of the COVID-19 pandemic-a systematic review.,2025,Nay Thiha; Louis Delorme; Francois Xavier Babin,"Fondation Merieux, Vientiane, Lao PDR. naythiha.dr@gmail.com.; Fondation Merieux, Lyon, France.; Fondation Merieux, Lyon, France.",naythiha.dr@gmail.com.
40722195,Beyond the pandemic: rising administrative demands and changing disease profiles in primary care.,2025,Eugene Merzon; Ariel Israel,"Leumit Health Services, 23 Shprinzak St., 6473817, Tel Aviv, Israel.; Leumit Health Services, 23 Shprinzak St., 6473817, Tel Aviv, Israel.",agolanchoen@leumit.co.il.
40722093,The impact of intensive care strain on patients' outcomes-a multinational observational cohort (UNITE-COVID) study.,2025,Marlies Ostermann,"Department of Intensive Care, Guy's & St Thomas' Hospital, London, UK.",Ac926@cam.ac.uk.
40721997,"Baseline cohort data from HARMONY, a cluster randomised controlled trial of culturally safe domestic violence management in general practice.",2025,Claudia García-Moreno,"Department of Sexual and Reproductive Health and Research, WHO, Geneva, Switzerland.",a.taft@latrobe.edu.au.
40721828,Preclinic evaluation of the safety of potential anticovid-19 phytomedicine: SAYE PLUS impacts on Wistar rat biochemical and histopathological parameters in sub-chronic toxicity study.,2025,Virginie Dakuyo,"Laboratoires PHYTOFLA, Banfora, BP, 293, Burkina Faso.",sylvain.ilboudo@gmail.com.
40721817,Perioperative and anesthetic considerations for post-acute sequelae of COVID (PASC)/long COVID.,2025,Ram Yogendra; Alice Perlowski; Breeana Johng; Hazem Dahshan; Christian Orr; Devon Jeffers; Kamran Husain; Bruce K Patterson,"Department of Anesthesiology, Geisinger Medical Center, Danville, PA, USA. rpyogendra@geisinger.edu.; Blooming Magnolia, Los Angeles, CA, USA.; Department of Anesthesiology, Geisinger Medical Center, Danville, PA, USA.; Department of Anesthesiology, Geisinger Medical Center, Danville, PA, USA.; Department of Anesthesiology, Geisinger Medical Center, Danville, PA, USA.; Department of Anesthesiology, Northwell LIJ Hospital, New Hyde Park, NY, USA.; Department of Anesthesiology, Geisinger Medical Center, Danville, PA, USA.; HealthBioAI, Traverse City, MI, USA.",rpyogendra@geisinger.edu.
40721738,Data collection in pediatric outpatient settings during the SARS-CoV-2 pandemic: motivators and barriers to establishing a research network of primary care providers.,2025,Ralf von der Heiden; Anna Bewer Silvestri; Marc Sidler,"Professional Association of Swiss Pediatricians in Private Practice, Winterthur, Switzerland.; Professional Association of Swiss Pediatricians in Private Practice, Thalwil, Switzerland.; Professional Association of Swiss Pediatricians in Private Practice, Binningen, Switzerland.",michael.vonrhein@kispi.uzh.ch.
40721590,Risk of Long COVID in hospitalized individuals treated with remdesivir for acute COVID-19.,2025,Mark Berry; Amanda M Kong; Roger Paredes; Julie Paone; Rohan Shah; Rebecca Taylor; Essy Mozaffari; Rikisha Gupta; Mazin Abdelghany; Jason D Goldman; Anand P Chokkalingam,"Gilead Sciences, Inc., Foster City, CA, USA.; Aetion, Inc., 5 Penn Plaza, New York, NY, USA.; IrsiCaixa, Ctra. de Canyet, Barcelona, Spain.; Aetion, Inc., 5 Penn Plaza, New York, NY, USA.; Aetion, Inc., 5 Penn Plaza, New York, NY, USA.; Aetion, Inc., 5 Penn Plaza, New York, NY, USA.; Gilead Sciences, Inc., Foster City, CA, USA.; Gilead Sciences, Inc., Foster City, CA, USA.; Gilead Sciences, Inc., Foster City, CA, USA.; Swedish Center for Research and Innovation, Providence Swedish Medical Center, Seattle, WA, USA. Jason.Goldman@swedish.org.; Gilead Sciences, Inc., Foster City, CA, USA.",Jason.Goldman@swedish.org.
40721147,"Race and Neighborhood Social Determinants of Cardiovascular Disease Mortality in California Adults, Before and During the COVID-19 Pandemic.",2025,Neil Maizlish; Adrienne Damicis; Tracy Delaney; Helen Dowling,Public Health Alliance of Southern California. Electronic address: neil3971@comcast.net.; Public Health Alliance of Southern California.; Public Health Alliance of Southern California.; Public Health Alliance of Southern California.,neil3971@comcast.net.
40721046,Timely Documentation of CPR Codes and Medical Treatment Preferences in the EHRs of Nursing Homes.,2025,Hylco Bouwstra,"Patyna, location Ielanen Sneek, Harste 11, Sneek, The Netherlands.",g.y.yeung@amsterdamumc.nl.
40720978,COVID-19 and Anticoagulant Use: Did the Pandemic Push DOACs Ahead of Warfarin?,2025,Bingwen Eugene Fan; Jia Hui Melissa Tan,"Department of Haematology, Tan Tock Seng Hospital, Singapore, Singapore.; Department of Pharmacy, Sengkang General Hospital, Singapore, Singapore.",
